SEASON_ID,Player_ID,Game_ID,GAME_DATE,MATCHUP,WL,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,PLUS_MINUS,VIDEO_AVAILABLE,PLAYER_NAME,SEASON
22022,1630162,0022201225,"Apr 09, 2023",MIN vs. NOP,W,39,8,21,0.381,3,9,0.333,7,13,0.538,3,10,13,4,4,4,8,3,26,-4,1,Anthony Edwards,2022-23
22022,1630162,0022201214,"Apr 08, 2023",MIN @ SAS,W,25,13,25,0.52,4,9,0.444,3,4,0.75,2,3,5,3,2,0,0,1,33,15,1,Anthony Edwards,2022-23
22022,1630162,0022201180,"Apr 04, 2023",MIN @ BKN,W,31,7,18,0.389,2,5,0.4,7,7,1.0,1,4,5,3,1,2,2,1,23,13,1,Anthony Edwards,2022-23
22022,1630162,0022201166,"Apr 02, 2023",MIN vs. POR,L,38,15,30,0.5,3,8,0.375,4,5,0.8,0,5,5,6,1,0,4,1,37,-1,1,Anthony Edwards,2022-23
22022,1630162,0022201157,"Mar 31, 2023",MIN vs. LAL,L,38,4,16,0.25,2,7,0.286,1,2,0.5,0,4,4,3,1,0,3,1,11,-7,1,Anthony Edwards,2022-23
22022,1630162,0022201144,"Mar 29, 2023",MIN @ PHX,L,40,13,22,0.591,3,9,0.333,2,3,0.667,0,0,0,6,1,1,1,2,31,-8,1,Anthony Edwards,2022-23
22022,1630162,0022201128,"Mar 27, 2023",MIN @ SAC,W,39,6,15,0.4,1,3,0.333,4,8,0.5,1,4,5,7,0,0,1,4,17,6,1,Anthony Edwards,2022-23
22022,1630162,0022201121,"Mar 26, 2023",MIN @ GSW,W,35,5,14,0.357,2,8,0.25,1,2,0.5,1,3,4,3,1,0,3,1,13,12,1,Anthony Edwards,2022-23
22022,1630162,0022201050,"Mar 17, 2023",MIN @ CHI,L,8,3,4,0.75,2,2,1.0,0,0,0.0,0,0,0,1,0,0,0,0,8,5,1,Anthony Edwards,2022-23
22022,1630162,0022201039,"Mar 15, 2023",MIN vs. BOS,L,38,10,20,0.5,5,8,0.625,3,5,0.6,0,10,10,7,0,0,3,0,28,5,1,Anthony Edwards,2022-23
22022,1630162,0022201021,"Mar 13, 2023",MIN @ ATL,W,36,12,25,0.48,2,10,0.2,6,10,0.6,0,8,8,5,1,2,3,1,32,23,1,Anthony Edwards,2022-23
22022,1630162,0022201001,"Mar 10, 2023",MIN vs. BKN,L,44,12,26,0.462,3,9,0.333,5,6,0.833,0,6,6,2,2,3,2,2,32,-4,1,Anthony Edwards,2022-23
22022,1630162,0022200980,"Mar 07, 2023",MIN vs. PHI,L,34,12,24,0.5,5,10,0.5,3,4,0.75,0,7,7,1,0,0,2,2,32,-15,1,Anthony Edwards,2022-23
22022,1630162,0022200961,"Mar 04, 2023",MIN @ SAC,W,36,10,20,0.5,2,8,0.25,5,8,0.625,1,3,4,8,0,0,4,4,27,-5,1,Anthony Edwards,2022-23
22022,1630162,0022200955,"Mar 03, 2023",MIN @ LAL,W,36,7,16,0.438,5,8,0.625,0,0,0.0,0,5,5,2,4,2,5,5,19,4,1,Anthony Edwards,2022-23
22022,1630162,0022200932,"Feb 28, 2023",MIN @ LAC,W,37,6,18,0.333,2,5,0.4,4,5,0.8,1,3,4,3,3,2,4,2,18,8,1,Anthony Edwards,2022-23
22022,1630162,0022200916,"Feb 26, 2023",MIN @ GSW,L,39,5,19,0.263,2,8,0.25,0,1,0.0,0,5,5,7,2,2,5,1,12,1,1,Anthony Edwards,2022-23
22022,1630162,0022200898,"Feb 24, 2023",MIN vs. CHA,L,40,11,26,0.423,3,7,0.429,4,4,1.0,0,8,8,5,2,2,4,0,29,-3,1,Anthony Edwards,2022-23
22022,1630162,0022200884,"Feb 16, 2023",MIN vs. WAS,L,37,11,26,0.423,3,10,0.3,9,10,0.9,1,4,5,3,3,1,6,4,34,-6,1,Anthony Edwards,2022-23
22022,1630162,0022200865,"Feb 13, 2023",MIN @ DAL,W,36,12,22,0.545,1,4,0.25,7,7,1.0,1,4,5,1,0,0,3,4,32,9,1,Anthony Edwards,2022-23
22022,1630162,0022200841,"Feb 10, 2023",MIN @ MEM,L,39,8,19,0.421,1,3,0.333,0,0,0.0,0,2,2,5,1,2,3,2,17,-18,1,Anthony Edwards,2022-23
22022,1630162,0022200828,"Feb 08, 2023",MIN @ UTA,W,33,13,27,0.481,4,9,0.444,1,1,1.0,0,7,7,8,1,0,1,1,31,19,1,Anthony Edwards,2022-23
22022,1630162,0022200820,"Feb 07, 2023",MIN @ DEN,L,21,7,11,0.636,1,3,0.333,4,5,0.8,0,3,3,3,0,1,1,3,19,-12,1,Anthony Edwards,2022-23
22022,1630162,0022200806,"Feb 05, 2023",MIN vs. DEN,W,31,8,17,0.471,1,5,0.2,3,5,0.6,0,4,4,3,2,0,2,2,20,13,1,Anthony Edwards,2022-23
22022,1630162,0022200790,"Feb 03, 2023",MIN vs. ORL,L,38,5,15,0.333,1,7,0.143,8,10,0.8,0,5,5,5,1,1,4,3,19,-10,1,Anthony Edwards,2022-23
22022,1630162,0022200774,"Feb 01, 2023",MIN vs. GSW,W,39,10,26,0.385,2,11,0.182,5,6,0.833,0,6,6,5,2,1,6,1,27,-9,1,Anthony Edwards,2022-23
22022,1630162,0022200758,"Jan 30, 2023",MIN vs. SAC,L,41,14,27,0.519,4,11,0.364,1,4,0.25,2,6,8,5,2,2,6,2,33,-11,1,Anthony Edwards,2022-23
22022,1630162,0022200746,"Jan 28, 2023",MIN vs. SAC,W,38,14,21,0.667,5,7,0.714,1,2,0.5,2,8,10,6,2,1,6,2,34,16,1,Anthony Edwards,2022-23
22022,1630162,0022200737,"Jan 27, 2023",MIN vs. MEM,W,36,9,18,0.5,3,5,0.6,4,6,0.667,0,7,7,7,0,1,2,2,25,10,1,Anthony Edwards,2022-23
22022,1630162,0022200724,"Jan 25, 2023",MIN @ NOP,W,37,12,25,0.48,4,10,0.4,9,10,0.9,0,6,6,5,0,0,4,1,37,13,1,Anthony Edwards,2022-23
22022,1630162,0022200709,"Jan 23, 2023",MIN @ HOU,L,37,9,20,0.45,6,10,0.6,7,9,0.778,1,2,3,5,4,1,6,3,31,-15,1,Anthony Edwards,2022-23
