PLAYER_NAME,BIRTHDATE,HEIGHT,WEIGHT,POSITION,DRAFT_YEAR,DRAFT_NUMBER,SEASON_EXP,AGE
Anthony Edwards,2001-08-05,6-4,225,Guard,2020,1,5,24
Rudy Gobert,1992-06-26,7-1,258,Center,2013,27,12,33
Julius Randle,1994-11-29,6-9,250,Forward-Center,2014,7,11,31
Naz Reid,1999-08-26,6-9,264,Center-Forward,Undrafted,Undrafted,6,26
Mike Conley,1987-10-11,6-1,175,Guard,2007,4,18,38
